Device Type	Instrument Type	Fixture ID	Fixture Mode	GDTF Fixture	GDTF Fixture Mode	Wattage	Purpose	Position	Unit Number	Color	Dimmer	Channel	User Address	Universe	User U Address	Circuit Number	Circuit Name	System	User Field 1	User Field 2	User Field 3	User Field 4	User Field 5	User Field 6	Voltage	Breaker ID	Time	Cost	DMX Footprint	Frame Size	Field Angle	Field Angle 2	Beam Angle	Beam Angle 2	Weight	Gobo 1	Gobo 1 Rotation	Gobo 2	Gobo 2 Rotation	Gobo Shift	Mark	Draw beam	Draw beam as 3D solid	Use vertical beam	Show Beam at	Falloff Distance	Lamp Rotation Angle	Top Shutter Depth	Top Shutter Angle	Left Shutter Depth	Left Shutter Angle	Right Shutter Depth	Right Shutter Angle	Bottom Shutter Depth	Bottom Shutter Angle	Symbol Name	Use Legend	3D Legend View	Flip top and bottom 3D legend	Flip left and right 3D legend	Rotate 3D legend with Z rotation	Flip front and back 2D legend	Flip left and right 2D legend	Focus	Set 3D Orientation	X Rotation	Y Rotation	Custom plan rotation	Z Rotation	Vertical Focus Angle	Horizontal Focus Angle	Angle To Face	Off Axis Angle	Throw Distance	X Location	Y Location	Z Location	__UID	Edit...	Edit Accessories	Edit Cell	Edit Accessory	Edit GDTF Data...	Absolute Address	Universe/Address	DMX Address	Replace Lighting Device…	Refresh Labels	Use GDTF Geometry	Pan	Tilt	Plan Rotation
Light	Source 4 26deg	Source 4 26deg	ETC Source 4 26.lit	-	-	575W	-	FoH	-	-	-	1	-	-	-	-	-	A	-	-	-	-	-	-	0	-	0	0	1	6.25"	25.00°	25.00°	18.00°	18.00°	14.00 lb	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Etc Source 4 26°	Source 4 	None	False	False	False	False	False	US	False	0	0	False	0	74.55°	15.45°	15.45°	24.90°	47'1.121"	-19'.03"	0"	18'0"	1160.1.1.0.0	0	0	-1	-2	0	0	0/0	0	0	0	False	-24.90°	74.55°	0.00°
Light	Source 4 26deg	Source 4 26deg	ETC Source 4 26.lit	-	-	575W	-	FoH	-	-	-	3	-	-	-	-	-	A	-	-	-	-	-	-	0	-	0	0	1	6.25"	25.00°	25.00°	18.00°	18.00°	14.00 lb	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Etc Source 4 26°	Source 4 	None	False	False	False	False	False	US	False	0	0	False	0	73.77°	16.23°	16.23°	17.07°	44'10.323"	-12'6.425"	0"	18'0"	1161.1.1.0.0	0	0	-1	-2	0	0	0/0	0	0	0	False	-17.07°	73.77°	0.00°
Light	Source 4 26deg	Source 4 26deg	ETC Source 4 26.lit	-	-	575W	-	FoH	-	-	-	4	-	-	-	-	-	A	-	-	-	-	-	-	0	-	0	0	1	6.25"	25.00°	25.00°	18.00°	18.00°	14.00 lb	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Etc Source 4 26°	Source 4 	None	False	False	False	False	False	US	False	0	0	False	0	73.46°	16.54°	16.54°	12.87°	44'.699"	-9'3.623"	0"	18'0"	1162.1.1.0.0	0	0	-1	-2	0	0	0/0	0	0	0	False	-12.87°	73.46°	0.00°
Light	Source 4 26deg	Source 4 26deg	ETC Source 4 26.lit	-	-	575W	-	FoH	-	-	-	5	-	-	-	-	-	A	-	-	-	-	-	-	0	-	0	0	1	6.25"	25.00°	25.00°	18.00°	18.00°	14.00 lb	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Etc Source 4 26°	Source 4 	None	False	False	False	False	False	US	False	0	0	False	0	73.24°	16.76°	16.76°	8.53°	43'5.791"	-6'.821"	0"	18'0"	1163.1.1.0.0	0	0	-1	-2	0	0	0/0	0	0	0	False	-8.53°	73.24°	0.00°
Light	Source 4 26deg	Source 4 26deg	ETC Source 4 26.lit	-	-	575W	-	FoH	-	-	-	6	-	-	-	-	-	A	-	-	-	-	-	-	0	-	0	0	1	6.25"	25.00°	25.00°	18.00°	18.00°	14.00 lb	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Etc Source 4 26°	Source 4 	None	False	False	False	False	False	US	False	0	0	False	0	73.10°	16.90°	16.90°	4.09°	43'1.707"	-2'10.018"	0"	18'0"	1164.1.1.0.0	0	0	-1	-2	0	0	0/0	0	0	0	False	-4.09°	73.10°	0.00°
Light	Source 4 26deg	Source 4 26deg	ETC Source 4 26.lit	-	-	575W	-	FoH	-	-	-	2	-	-	-	-	-	A	-	-	-	-	-	-	0	-	0	0	1	6.25"	25.00°	25.00°	18.00°	18.00°	14.00 lb	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Etc Source 4 26°	Source 4 	None	False	False	False	False	False	US	False	0	0	False	0	74.13°	15.87°	15.87°	21.09°	45'10.519"	-15'9.228"	0"	18'0"	1165.1.1.0.0	0	0	-1	-2	0	0	0/0	0	0	0	False	-21.09°	74.13°	0.00°
Light	Source 4 26deg	Source 4 26deg	ETC Source 4 26.lit	-	-	575W	-	FoH	-	-	-	7	-	-	-	-	-	A	-	-	-	-	-	-	0	-	0	0	1	6.25"	25.00°	25.00°	18.00°	18.00°	14.00 lb	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Etc Source 4 26°	Source 4 	None	False	False	False	False	False	US	False	0	0	False	0	73.10°	16.90°	16.90°	4.14°	43'1.739"	3'1.071"	0"	18'0"	1166.1.1.0.0	0	0	-1	-2	0	0	0/0	0	0	0	False	4.14°	73.10°	0.00°
Light	Source 4 26deg	Source 4 26deg	ETC Source 4 26.lit	-	-	575W	-	FoH	-	-	-	8	-	-	-	-	-	A	-	-	-	-	-	-	0	-	0	0	1	6.25"	25.00°	25.00°	18.00°	18.00°	14.00 lb	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Etc Source 4 26°	Source 4 	None	False	False	False	False	False	US	False	0	0	False	0	73.24°	16.76°	16.76°	8.58°	43'5.859"	6'3.874"	0"	18'0"	1167.1.1.0.0	0	0	-1	-2	0	0	0/0	0	0	0	False	8.58°	73.24°	0.00°
Light	Source 4 26deg	Source 4 26deg	ETC Source 4 26.lit	-	-	575W	-	FoH	-	-	-	9	-	-	-	-	-	A	-	-	-	-	-	-	0	-	0	0	1	6.25"	25.00°	25.00°	18.00°	18.00°	14.00 lb	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Etc Source 4 26°	Source 4 	None	False	False	False	False	False	US	False	0	0	False	0	73.46°	16.54°	16.54°	12.92°	44'.801"	9'6.676"	0"	18'0"	1168.1.1.0.0	0	0	-1	-2	0	0	0/0	0	0	0	False	12.92°	73.46°	0.00°
Light	Source 4 26deg	Source 4 26deg	ETC Source 4 26.lit	-	-	575W	-	FoH	-	-	-	11	-	-	-	-	-	A	-	-	-	-	-	-	0	-	0	0	1	6.25"	25.00°	25.00°	18.00°	18.00°	14.00 lb	-	0.00°	-	0.00°	0	-	False	False	False	Focus Point	5'0"	0.00°	0	0.00°	0	0.00°	0	0.00°	0	0.00°	Etc Source 4 26°	Source 4 	None	False	False	False	False	False	US	False	0	0	False	0	74.14°	15.86°	15.86°	21.13°	45'10.683"	16'.281"	0"	18'0"	1169.1.1.0.0	0	0	-1	-2	0	0	0/0	0	0	0	False	21.13°	74.14°	0.00°
